class,model,accuracy,precision,recall,f1-score,normal_samples,faulty_samples,imbalance_ratio
001_control-group,TSF,0.6333333333333333,0.3333333333333333,0.1,0.15384615384615385,100,50,2.0
001_control-group,KNN-DTW,0.43333333333333335,0.1111111111111111,0.1,0.10526315789473684,100,50,2.0
101_deformed-thread,TSF,0.7666666666666667,0.8,0.4,0.5333333333333333,100,50,2.0
101_deformed-thread,KNN-DTW,0.6666666666666666,0.5,0.6,0.5454545454545454,100,50,2.0
102_filed-screw-tip,TSF,0.8333333333333334,0.7272727272727273,0.8,0.7619047619047619,100,50,2.0
102_filed-screw-tip,KNN-DTW,0.8333333333333334,0.8571428571428571,0.6,0.7058823529411765,100,50,2.0
103_glued-screw-tip,TSF,0.8,0.8333333333333334,0.5,0.625,100,50,2.0
103_glued-screw-tip,KNN-DTW,0.6666666666666666,0.5,0.6,0.5454545454545454,100,50,2.0
104_coated-screw,TSF,0.7,0.6,0.3,0.4,100,50,2.0
104_coated-screw,KNN-DTW,0.7,0.5714285714285714,0.4,0.47058823529411764,100,50,2.0
105_worn-out-screw,TSF,0.8666666666666667,0.875,0.7,0.7777777777777778,100,50,2.0
105_worn-out-screw,KNN-DTW,0.7,0.5294117647058824,0.9,0.6666666666666666,100,50,2.0
201_damaged-contact-surface,TSF,0.8666666666666667,0.8,0.8,0.8,100,50,2.0
201_damaged-contact-surface,KNN-DTW,0.8333333333333334,0.7272727272727273,0.8,0.7619047619047619,100,50,2.0
202_broken-contact-surface,TSF,0.9333333333333333,0.9,0.9,0.9,100,50,2.0
202_broken-contact-surface,KNN-DTW,0.9,0.8888888888888888,0.8,0.8421052631578947,100,50,2.0
203_metal-ring-upper-part,TSF,0.9,0.8888888888888888,0.8,0.8421052631578947,100,50,2.0
203_metal-ring-upper-part,KNN-DTW,0.8333333333333334,0.8571428571428571,0.6,0.7058823529411765,100,50,2.0
204_rubber-ring-upper-part,TSF,1.0,1.0,1.0,1.0,100,50,2.0
204_rubber-ring-upper-part,KNN-DTW,0.9333333333333333,0.8333333333333334,1.0,0.9090909090909091,100,50,2.0
205_different-material,TSF,1.0,1.0,1.0,1.0,100,50,2.0
205_different-material,KNN-DTW,0.9666666666666667,1.0,0.9,0.9473684210526315,100,50,2.0
301_plastic-pin-screw-hole,TSF,0.8333333333333334,1.0,0.5,0.6666666666666666,100,50,2.0
301_plastic-pin-screw-hole,KNN-DTW,0.7666666666666667,0.6666666666666666,0.6,0.631578947368421,100,50,2.0
302_enlarged-screw-hole,TSF,1.0,1.0,1.0,1.0,100,50,2.0
302_enlarged-screw-hole,KNN-DTW,1.0,1.0,1.0,1.0,100,50,2.0
303_less-glass-fiber,TSF,0.9,0.8888888888888888,0.8,0.8421052631578947,100,50,2.0
303_less-glass-fiber,KNN-DTW,0.8666666666666667,0.75,0.9,0.8181818181818182,100,50,2.0
304_glued-screw-hole,TSF,0.9333333333333333,0.9,0.9,0.9,100,50,2.0
304_glued-screw-hole,KNN-DTW,0.7,0.5555555555555556,0.5,0.5263157894736842,100,50,2.0
305_gap-between-parts,TSF,0.9333333333333333,0.8333333333333334,1.0,0.9090909090909091,100,50,2.0
305_gap-between-parts,KNN-DTW,0.7,0.5555555555555556,0.5,0.5263157894736842,100,50,2.0
401_surface-lubricant,TSF,0.8,0.8333333333333334,0.5,0.625,100,50,2.0
401_surface-lubricant,KNN-DTW,0.7,0.5714285714285714,0.4,0.47058823529411764,100,50,2.0
402_surface-moisture,TSF,0.7333333333333333,0.75,0.3,0.42857142857142855,100,50,2.0
402_surface-moisture,KNN-DTW,0.5,0.2222222222222222,0.2,0.21052631578947367,100,50,2.0
403_plastic-chip,TSF,0.9,0.7692307692307693,1.0,0.8695652173913043,100,50,2.0
403_plastic-chip,KNN-DTW,0.9333333333333333,1.0,0.8,0.8888888888888888,100,50,2.0
404_increased-temperature,TSF,0.8333333333333334,0.8571428571428571,0.6,0.7058823529411765,100,50,2.0
404_increased-temperature,KNN-DTW,0.8,0.75,0.6,0.6666666666666666,100,50,2.0
405_decreased-temperature,TSF,0.7333333333333333,0.625,0.5,0.5555555555555556,100,50,2.0
405_decreased-temperature,KNN-DTW,0.7,0.5454545454545454,0.6,0.5714285714285714,100,50,2.0
501_increased-ang-velocity,TSF,0.8571428571428571,0.8,0.8,0.8,90,50,1.8
501_increased-ang-velocity,KNN-DTW,0.8214285714285714,0.7777777777777778,0.7,0.7368421052631579,90,50,1.8
502_decreased-ang-velocity,TSF,0.9333333333333333,1.0,0.8,0.8888888888888888,100,50,2.0
502_decreased-ang-velocity,KNN-DTW,0.9,0.8888888888888888,0.8,0.8421052631578947,100,50,2.0
503_increased-torque,TSF,0.76,1.0,0.4,0.5714285714285714,75,50,1.5
503_increased-torque,KNN-DTW,0.8,0.7777777777777778,0.7,0.7368421052631579,75,50,1.5
504_decreased-torque,TSF,0.7333333333333333,0.6,0.6,0.6,100,50,2.0
504_decreased-torque,KNN-DTW,0.7333333333333333,0.5833333333333334,0.7,0.6363636363636364,100,50,2.0
